Date,Open,High,Low,Close,Volume,Adj Close
2014-01-10,1.3664,1.3664,1.3664,1.3664,0,0
2014-01-09,1.3591,1.3591,1.3591,1.3591,0,0
2014-01-08,1.3586,1.3586,1.3586,1.3586,0,0
2014-01-07,1.3618,1.3618,1.3618,1.3618,0,0
2014-01-06,1.3636,1.3636,1.3636,1.3636,0,0
2014-01-03,1.3606,1.3606,1.3606,1.3606,0,0
2014-01-02,1.367,1.367,1.367,1.367,0,0
2013-12-31,1.3779,1.3779,1.3779,1.3779,0,0
2013-12-30,1.3816,1.3816,1.3816,1.3816,0,0
2013-12-27,1.3766,1.3766,1.3766,1.3766,0,0
2013-12-24,1.3676,1.3676,1.3676,1.3676,0,0
2013-12-23,1.3701,1.3701,1.3701,1.3701,0,0
2013-12-20,1.3673,1.3673,1.3673,1.3673,0,0
2013-12-19,1.3666,1.3666,1.3666,1.3666,0,0
2013-12-18,1.3766,1.3766,1.3766,1.3766,0,0
2013-12-17,1.3748,1.3748,1.3748,1.3748,0,0
2013-12-16,1.3757,1.3757,1.3757,1.3757,0,0
2013-12-13,1.3724,1.3724,1.3724,1.3724,0,0
2013-12-12,1.3752,1.3752,1.3752,1.3752,0,0
2013-12-11,1.3798,1.3798,1.3798,1.3798,0,0
2013-12-10,1.3765,1.3765,1.3765,1.3765,0,0
2013-12-09,1.3726,1.3726,1.3726,1.3726,0,0
2013-12-06,1.369,1.369,1.369,1.369,0,0
2013-12-05,1.3664,1.3664,1.3664,1.3664,0,0
2013-12-04,1.3555,1.3555,1.3555,1.3555,0,0
2013-12-03,1.3604,1.3604,1.3604,1.3604,0,0
2013-12-02,1.3552,1.3552,1.3552,1.3552,0,0
2013-11-29,1.3606,1.3606,1.3606,1.3606,0,0
2013-11-27,1.3563,1.3563,1.3563,1.3563,0,0
2013-11-26,1.3555,1.3555,1.3555,1.3555,0,0
2013-11-25,1.3502,1.3502,1.3502,1.3502,0,0
2013-11-22,1.3547,1.3547,1.3547,1.3547,0,0
2013-11-21,1.347,1.347,1.347,1.347,0,0
2013-11-20,1.3451,1.3451,1.3451,1.3451,0,0
2013-11-19,1.3529,1.3529,1.3529,1.3529,0,0
2013-11-18,1.352,1.352,1.352,1.352,0,0
2013-11-15,1.348,1.348,1.348,1.348,0,0
2013-11-14,1.3468,1.3468,1.3468,1.3468,0,0
2013-11-13,1.3456,1.3456,1.3456,1.3456,0,0
2013-11-12,1.3428,1.3428,1.3428,1.3428,0,0
2013-11-11,1.33925,1.33925,1.33925,1.33925,0,0
2013-11-08,1.3357,1.3357,1.3357,1.3357,0,0
2013-11-07,1.339,1.339,1.339,1.339,0,0
2013-11-06,1.353,1.353,1.353,1.353,0,0
2013-11-05,1.347,1.347,1.347,1.347,0,0
2013-11-04,1.3516,1.3516,1.3516,1.3516,0,0
2013-11-01,1.3488,1.3488,1.3488,1.3488,0,0
2013-10-31,1.3594,1.3594,1.3594,1.3594,0,0
2013-10-30,1.3771,1.3771,1.3771,1.3771,0,0
2013-10-29,1.377,1.377,1.377,1.377,0,0
2013-10-28,1.3786,1.3786,1.3786,1.3786,0,0
2013-10-25,1.3794,1.3794,1.3794,1.3794,0,0
2013-10-24,1.381,1.381,1.381,1.381,0,0
2013-10-23,1.3786,1.3786,1.3786,1.3786,0,0
2013-10-22,1.3778,1.3778,1.3778,1.3778,0,0
2013-10-21,1.3672,1.3672,1.3672,1.3672,0,0
2013-10-18,1.3693,1.3693,1.3693,1.3693,0,0
2013-10-17,1.3664,1.3664,1.3664,1.3664,0,0
2013-10-16,1.349,1.349,1.349,1.349,0,0
2013-10-15,1.3494,1.3494,1.3494,1.3494,0,0
2013-10-14,1.35265,1.35265,1.35265,1.35265,0,0
2013-10-11,1.3559,1.3559,1.3559,1.3559,0,0
2013-10-10,1.3535,1.3535,1.3535,1.3535,0,0
2013-10-09,1.3513,1.3513,1.3513,1.3513,0,0
2013-10-08,1.3582,1.3582,1.3582,1.3582,0,0
2013-10-04,1.3582,1.3582,1.3582,1.3582,0,0
2013-10-03,1.3642,1.3642,1.3642,1.3642,0,0
2013-10-02,1.3592,1.3592,1.3592,1.3592,0,0
2013-10-01,1.3534,1.3534,1.3534,1.3534,0,0
2013-09-30,1.3535,1.3535,1.3535,1.3535,0,0
2013-09-27,1.3537,1.3537,1.3537,1.3537,0,0
2013-09-26,1.3484,1.3484,1.3484,1.3484,0,0
2013-09-25,1.3536,1.3536,1.3536,1.3536,0,0
2013-09-24,1.349,1.349,1.349,1.349,0,0
2013-09-23,1.352,1.352,1.352,1.352,0,0
2013-09-20,1.3522,1.3522,1.3522,1.3522,0,0
2013-09-19,1.3527,1.3527,1.3527,1.3527,0,0
2013-09-18,1.3351,1.3351,1.3351,1.3351,0,0
2013-09-17,1.3357,1.3357,1.3357,1.3357,0,0
2013-09-16,1.335,1.335,1.335,1.335,0,0
2013-09-13,1.3276,1.3276,1.3276,1.3276,0,0
2013-09-12,1.3315,1.3315,1.3315,1.3315,0,0
2013-09-11,1.3301,1.3301,1.3301,1.3301,0,0
2013-09-10,1.326,1.326,1.326,1.326,0,0
2013-09-09,1.326,1.326,1.326,1.326,0,0
2013-09-06,1.3166,1.3166,1.3166,1.3166,0,0
2013-09-05,1.312,1.312,1.312,1.312,0,0
2013-09-04,1.3212,1.3212,1.3212,1.3212,0,0
2013-09-03,1.3164,1.3164,1.3164,1.3164,0,0
2013-08-30,1.3196,1.3196,1.3196,1.3196,0,0
2013-08-29,1.3228,1.3228,1.3228,1.3228,0,0
2013-08-28,1.3326,1.3326,1.3326,1.3326,0,0
2013-08-27,1.3387,1.3387,1.3387,1.3387,0,0
2013-08-26,1.3369,1.3369,1.3369,1.3369,0,0
2013-08-23,1.3392,1.3392,1.3392,1.3392,0,0
2013-08-22,1.3362,1.3362,1.3362,1.3362,0,0
2013-08-21,1.3368,1.3368,1.3368,1.3368,0,0
2013-08-20,1.3426,1.3426,1.3426,1.3426,0,0
2013-08-19,1.3348,1.3348,1.3348,1.3348,0,0
2013-08-16,1.3321,1.3321,1.3321,1.3321,0,0
2013-08-15,1.3263,1.3263,1.3263,1.3263,0,0
2013-08-14,1.3256,1.3256,1.3256,1.3256,0,0
2013-08-13,1.3247,1.3247,1.3247,1.3247,0,0
2013-08-12,1.3312,1.3312,1.3312,1.3312,0,0
2013-08-09,1.3338,1.3338,1.3338,1.3338,0,0
2013-08-08,1.3392,1.3392,1.3392,1.3392,0,0
2013-08-07,1.3329,1.3329,1.3329,1.3329,0,0
2013-08-06,1.3296,1.3296,1.3296,1.3296,0,0
2013-08-02,1.3268,1.3268,1.3268,1.3268,0,0
2013-08-01,1.3217,1.3217,1.3217,1.3217,0,0
2013-07-31,1.3282,1.3282,1.3282,1.3282,0,0
2013-07-30,1.3266,1.3266,1.3266,1.3266,0,0
2013-07-29,1.3262,1.3262,1.3262,1.3262,0,0
2013-07-26,1.3269,1.3269,1.3269,1.3269,0,0
2013-07-25,1.3234,1.3234,1.3234,1.3234,0,0
2013-07-24,1.3228,1.3228,1.3228,1.3228,0,0
2013-07-23,1.3212,1.3212,1.3212,1.3212,0,0
